Title,Genre,Release Year,Rating,Viewership,Region,Age Group,Subscription Type,Watch Time (min),Completion Rate (%)
Show 763,Thriller,2019,2.9,683105,Australia,65+,Premium,128.3,0.86
Show 764,Documentary,2013,7.7,268389,South America,55-64,Premium,103.3,0.99
Show 765,Drama,2023,1.2,122408,North America,35-44,Premium,50.5,0.99
Show 766,Romance,2005,4.2,641431,North America,55-64,Standard,170.4,0.49
Show 767,Action,2020,8,947357,South America,55-64,Premium,173.4,0.54
Show 768,Drama,2003,6.1,294776,South America,25-34,Standard,158.5,0.37
Show 769,Sci-Fi,2007,3.4,804288,Africa,65+,Premium,156.6,0.38
Show 770,Sci-Fi,2016,7.3,192965,South America,65+,Premium,44.8,0.54
Show 771,Drama,2008,6.1,993145,Asia,18-24,Premium,179,0.28
Show 772,Documentary,2000,8.2,237298,Africa,65+,Standard,90.1,0.74
Show 773,Action,2023,7.6,597337,Australia,65+,Premium,54.5,0.58
Show 774,Action,2019,6.5,849614,Australia,55-64,Basic,151.8,0.91
Show 775,Romance,2013,5.4,925305,Australia,45-54,Premium,63.9,0.83
Show 776,Action,2010,2.2,758241,Australia,25-34,Standard,108.9,0.39
Show 777,Sci-Fi,2020,3.4,739791,Europe,18-24,Standard,49.2,0.56
Show 778,Thriller,2002,4.8,700109,Asia,25-34,Basic,101.2,0.78
Show 779,Documentary,2008,6.4,209829,Africa,18-24,Basic,113.7,0.27
Show 780,Action,2013,5.6,322798,Africa,35-44,Basic,96.9,0.13
Show 781,Romance,2008,3.6,207646,Australia,55-64,Standard,40.4,0.87
Show 782,Sci-Fi,2003,1.1,495783,North America,65+,Premium,102.7,0.22
Show 783,Thriller,2003,5.5,846813,Africa,65+,Premium,100.3,0.9
Show 784,Comedy,2007,3.6,63601,Asia,45-54,Basic,69.2,0.92
Show 785,Comedy,2001,7.6,151154,South America,25-34,Basic,168.2,0.51
Show 786,Thriller,2008,1.2,675008,Asia,25-34,Premium,92.7,0.83
Show 787,Sci-Fi,2013,6.3,791796,Australia,25-34,Basic,159.6,0.43
Show 788,Romance,2021,9.5,170640,Australia,65+,Premium,46.4,0.87
Show 789,Thriller,2008,2.6,469710,Europe,25-34,Premium,77.8,0.84
Show 790,Documentary,2023,5.2,734992,Africa,55-64,Premium,56.4,0.17
Show 791,Documentary,2022,1.8,274580,Africa,18-24,Premium,91.3,0.62
Show 792,Comedy,2015,6.6,353857,Africa,65+,Standard,46.7,0.68
Show 793,Action,2016,6,949258,Australia,55-64,Premium,96.2,0.1
Show 794,Romance,2015,4.7,851626,Africa,35-44,Basic,83.1,0.98
Show 795,Comedy,2011,5.7,29544,North America,55-64,Basic,63.5,0.47
Show 796,Action,2002,9.1,982684,North America,55-64,Basic,126.3,0.57
Show 797,Action,2010,2.8,68295,South America,35-44,Basic,172.6,0.28
Show 798,Documentary,2013,1.2,410854,Africa,55-64,Standard,61.1,0.65
Show 799,Sci-Fi,2017,8.8,726075,Europe,18-24,Premium,136.8,0.83
Show 800,Drama,2020,6.2,74409,South America,65+,Premium,141.4,0.63
Show 801,Sci-Fi,2020,9,779008,Australia,45-54,Basic,104.7,0.81
Show 802,Drama,2004,6.4,526998,Africa,35-44,Basic,164.7,0.76
Show 803,Thriller,2015,8.3,656127,North America,65+,Basic,175,0.31
Show 804,Documentary,2019,4.9,380903,Europe,25-34,Premium,84.3,0.49
Show 805,Action,2004,7.7,284301,South America,18-24,Standard,127.7,0.23
Show 806,Romance,2002,9.2,181637,Europe,45-54,Standard,129.3,0.14
Show 807,Drama,2011,6.1,730356,Africa,18-24,Standard,90.5,0.16
Show 808,Sci-Fi,2000,2.6,595176,Asia,18-24,Standard,77.5,0.95
Show 809,Action,2020,3.4,192167,Europe,25-34,Basic,170.1,0.99
Show 810,Drama,2008,2.8,856379,Europe,45-54,Premium,148.5,0.19
Show 811,Drama,2008,3.2,485338,Australia,18-24,Basic,47.2,0.4
Show 812,Drama,2003,3.8,862312,North America,25-34,Standard,48,0.2
Show 813,Romance,2002,6,9507,Africa,35-44,Basic,168.4,0.85
Show 814,Documentary,2016,6.3,894566,Europe,25-34,Standard,42.2,0.55
Show 815,Romance,2001,4.8,48988,Africa,55-64,Premium,133.3,0.66
Show 816,Comedy,2023,6.5,365565,North America,65+,Standard,64,0.59
Show 817,Action,2000,1.7,677225,Australia,25-34,Basic,35.3,0.74
Show 818,Documentary,2007,1.8,369735,Africa,25-34,Premium,38.9,0.39
Show 819,Documentary,2012,2.5,396758,North America,25-34,Standard,86,0.22
Show 820,Documentary,2022,5.7,32213,North America,18-24,Standard,41.6,0.12
Show 821,Sci-Fi,2014,2.9,978458,South America,45-54,Premium,119.5,0.5
Show 822,Documentary,2007,3.5,62450,Australia,25-34,Basic,127.1,0.92
Show 823,Romance,2011,4.6,402693,Australia,25-34,Premium,86,0.37
Show 824,Documentary,2021,8.3,591510,Africa,55-64,Basic,141.4,0.28
Show 825,Thriller,2011,1.1,929037,Asia,55-64,Standard,103.5,0.93
Show 826,Action,2013,6.8,971899,South America,35-44,Standard,94.5,0.19
Show 827,Documentary,2014,7,523728,Australia,35-44,Premium,91,0.15
Show 828,Action,2014,8.2,683756,North America,55-64,Standard,94.7,0.89
Show 829,Thriller,2008,9.4,17755,Australia,45-54,Premium,175.2,0.73
Show 830,Thriller,2018,1.2,661225,Asia,35-44,Standard,132.2,0.48
Show 831,Action,2019,2.4,147245,Europe,65+,Standard,77.3,0.78
Show 832,Drama,2021,9,194977,Europe,65+,Basic,140.1,0.77
Show 833,Comedy,2007,5.1,174169,Australia,45-54,Premium,79.5,0.14
Show 834,Sci-Fi,2020,6.1,300515,Australia,55-64,Premium,48.9,0.71
Show 835,Drama,2018,7,240132,South America,35-44,Standard,101.3,0.68
Show 836,Drama,2005,7.1,409470,Australia,25-34,Basic,142.7,0.97
Show 837,Romance,2019,9.4,140090,Asia,55-64,Basic,86.6,0.97
Show 838,Sci-Fi,2018,10,796624,Australia,35-44,Premium,160.4,0.44
Show 839,Sci-Fi,2003,7.5,793447,Africa,45-54,Premium,88,0.63
Show 840,Drama,2022,3.6,899586,Asia,65+,Standard,82.5,0.23
Show 841,Documentary,2006,8.9,729276,South America,45-54,Premium,179.7,0.16
Show 842,Romance,2003,1.4,557631,Africa,35-44,Standard,102.4,0.49
Show 843,Romance,2021,3.1,860738,Africa,45-54,Basic,150.8,0.72
Show 844,Thriller,2011,9.1,10829,Europe,35-44,Premium,150.7,0.61
Show 845,Sci-Fi,2012,3.3,563669,Asia,35-44,Basic,169,0.49
Show 846,Drama,2002,3,902883,Africa,45-54,Basic,42.7,0.84
Show 847,Thriller,2021,2.2,217153,South America,18-24,Standard,70.7,0.81
Show 848,Action,2011,8.7,285407,Europe,25-34,Basic,145.2,0.76
Show 849,Comedy,2001,5.5,764036,Africa,55-64,Standard,114.4,0.17
Show 850,Romance,2023,7.1,451476,Asia,65+,Standard,113.9,0.82
Show 851,Action,2001,3.2,965810,Europe,25-34,Basic,54.9,0.93
Show 852,Action,2022,7.8,489427,Asia,55-64,Basic,72.2,0.15
Show 853,Documentary,2008,7.8,325562,Asia,55-64,Standard,108.2,0.46
Show 854,Comedy,2000,3.8,751258,Asia,65+,Standard,71.6,0.99
Show 855,Action,2007,4.7,529436,Europe,25-34,Basic,61.5,0.64
Show 856,Action,2022,2.9,924258,Africa,65+,Standard,43.2,0.56
Show 857,Comedy,2005,9.8,818177,Australia,35-44,Standard,53.4,0.26
Show 858,Comedy,2005,6.8,602202,North America,65+,Premium,145.3,0.61
Show 859,Action,2021,9.4,510111,Africa,45-54,Premium,137.8,0.5
Show 860,Comedy,2017,3.7,978337,Europe,18-24,Premium,36.9,0.21
Show 861,Action,2016,8,942644,North America,18-24,Premium,60.5,0.52
Show 862,Action,2011,7.9,997411,North America,18-24,Premium,114.1,0.25
Show 863,Documentary,2005,7.2,65653,North America,25-34,Standard,78.4,0.76
Show 864,Drama,2007,9.7,752895,Australia,25-34,Standard,153.5,0.98
Show 865,Action,2018,4.5,197593,South America,35-44,Premium,147.7,0.52
Show 866,Thriller,2009,2.2,345459,Europe,18-24,Basic,163.7,0.67
Show 867,Romance,2000,7,298219,Australia,35-44,Premium,114.4,0.49
Show 868,Sci-Fi,2012,7.6,953201,Australia,18-24,Basic,82.8,0.22
Show 869,Drama,2016,6.2,977048,South America,25-34,Standard,120.9,0.97
Show 870,Drama,2002,2.9,14795,North America,45-54,Basic,43.4,0.22
Show 871,Drama,2007,5.5,593843,South America,45-54,Standard,31.4,0.2
Show 872,Documentary,2013,3.8,974708,South America,45-54,Basic,32.6,0.51
Show 873,Action,2002,4.8,240068,Australia,65+,Standard,91.1,0.69
Show 874,Documentary,2015,6.8,467970,Europe,45-54,Standard,64.2,0.42
Show 875,Action,2012,7.7,987364,Asia,55-64,Premium,53.6,0.27
Show 876,Documentary,2019,3.1,632395,South America,18-24,Standard,122.3,0.84
Show 877,Documentary,2023,4.6,318673,South America,45-54,Premium,179.3,0.43
Show 878,Romance,2016,3.4,934176,North America,55-64,Premium,56.7,0.27
Show 879,Thriller,2012,2.8,452454,North America,55-64,Premium,112,0.43
Show 880,Documentary,2005,8.1,756938,Australia,55-64,Basic,48,0.29
Show 881,Romance,2016,9.2,172022,North America,35-44,Basic,170.1,0.57
Show 882,Comedy,2013,4.3,16009,Africa,35-44,Standard,73.8,0.7
Show 883,Thriller,2016,7.8,183168,South America,55-64,Premium,161.8,0.82
Show 884,Documentary,2007,9.1,679904,North America,65+,Premium,72.5,0.3
Show 885,Sci-Fi,2010,8.6,978232,Europe,45-54,Standard,150.9,0.25
Show 886,Drama,2019,2.6,558669,Africa,18-24,Premium,61.4,0.12
Show 887,Comedy,2000,9.6,394913,Australia,65+,Standard,73.9,0.31
Show 888,Comedy,2006,4.4,947791,Asia,25-34,Premium,58.9,0.12
Show 889,Romance,2020,4.1,331754,South America,35-44,Basic,69.6,0.41
Show 890,Comedy,2020,1.6,73122,South America,45-54,Standard,155.2,0.23
Show 891,Thriller,2016,5.4,335328,Europe,45-54,Standard,125.9,0.62
Show 892,Documentary,2009,2,438297,Asia,25-34,Basic,90.9,0.45
Show 893,Documentary,2010,3.2,219709,Asia,25-34,Standard,175.7,0.18
Show 894,Sci-Fi,2021,3.9,967816,Australia,45-54,Basic,99.7,0.46
Show 895,Drama,2008,8.3,616516,Australia,25-34,Premium,175.5,0.29
Show 896,Romance,2008,8.9,864375,Africa,45-54,Basic,59.5,0.71
Show 897,Drama,2023,3.7,610058,South America,65+,Basic,165.7,0.43
Show 898,Comedy,2004,8.7,57726,North America,25-34,Standard,32.1,0.23
Show 899,Sci-Fi,2016,8.7,420427,Australia,65+,Premium,111.8,0.41
Show 900,Drama,2008,7.9,951984,Europe,65+,Basic,93.5,0.3
Show 901,Thriller,2016,2.3,839212,Europe,25-34,Premium,108.8,0.82
Show 902,Documentary,2023,7.2,193210,Europe,45-54,Basic,113,0.99
Show 903,Comedy,2020,9.5,750742,Australia,55-64,Standard,88.4,0.12
Show 904,Sci-Fi,2018,7.1,309647,Australia,45-54,Basic,179.7,0.72
Show 905,Drama,2006,4,849325,Europe,18-24,Basic,176.5,0.34
Show 906,Romance,2022,5.5,182265,Australia,25-34,Premium,174.3,0.16
Show 907,Thriller,2008,6.8,774362,North America,35-44,Basic,176.9,0.11
Show 908,Thriller,2006,5.6,525759,North America,25-34,Standard,149,0.89
Show 909,Drama,2012,2.1,852790,Africa,18-24,Standard,178.3,0.42
Show 910,Documentary,2010,3.8,85857,South America,65+,Basic,163.9,1
Show 911,Drama,2013,8.2,387601,North America,35-44,Basic,92.4,0.5
Show 912,Comedy,2018,8.8,944621,Africa,35-44,Premium,147.7,0.27
Show 913,Drama,2010,2.2,264405,Asia,45-54,Premium,166.8,0.8
Show 914,Thriller,2012,9.6,195128,South America,55-64,Standard,136.9,0.93
Show 915,Sci-Fi,2013,4,647216,North America,45-54,Premium,93.4,0.83
Show 916,Drama,2012,7,587994,Asia,35-44,Basic,39.9,0.77
Show 917,Documentary,2000,7.8,992933,Africa,35-44,Standard,151.5,0.4
Show 918,Sci-Fi,2007,8.3,931980,North America,55-64,Premium,172.9,0.16
Show 919,Romance,2011,9.5,349950,North America,25-34,Standard,84.4,0.28
Show 920,Action,2018,3.8,584294,Australia,55-64,Basic,52.8,0.5
Show 921,Drama,2011,8.7,616526,Asia,65+,Premium,79,0.96
Show 922,Documentary,2007,2.2,253018,North America,45-54,Basic,117.4,0.75
Show 923,Sci-Fi,2007,7.3,468134,Europe,25-34,Basic,77.5,0.85
Show 924,Documentary,2020,7.7,723515,Australia,45-54,Standard,121.6,0.35
Show 925,Romance,2012,7.1,989825,Australia,55-64,Standard,175,0.72
Show 926,Thriller,2011,3.3,837230,North America,25-34,Standard,130.6,0.88
Show 927,Documentary,2015,8.9,82271,Australia,55-64,Premium,84.4,0.53
Show 928,Sci-Fi,2000,2.5,821609,South America,65+,Premium,170.4,0.49
Show 929,Documentary,2012,1.5,494464,Asia,18-24,Standard,114.8,0.75
Show 930,Documentary,2006,7.5,395166,South America,35-44,Premium,49.3,0.6
Show 931,Documentary,2004,5.3,520631,Africa,25-34,Premium,104.8,0.99
Show 932,Comedy,2007,8.6,921588,South America,35-44,Standard,128,0.48
Show 933,Comedy,2013,4.5,349359,Europe,18-24,Basic,155.7,0.26
Show 934,Thriller,2022,2.5,48013,Australia,25-34,Premium,170.5,0.52
Show 935,Drama,2012,8.5,611888,Australia,35-44,Premium,77.6,0.31
Show 936,Documentary,2014,5.9,363243,Europe,35-44,Basic,53.3,0.61
Show 937,Romance,2022,2.7,320594,Australia,25-34,Basic,41.1,0.21
Show 938,Drama,2016,7.5,446144,South America,35-44,Basic,140.8,0.95
Show 939,Romance,2014,5.6,389784,Africa,35-44,Standard,149.3,0.87
Show 940,Drama,2019,6.4,883835,North America,25-34,Basic,91.4,0.24
Show 941,Thriller,2017,5.1,443598,Europe,35-44,Standard,89.4,0.26
Show 942,Documentary,2017,8.5,628578,South America,35-44,Basic,173.1,0.56
Show 943,Documentary,2001,8.5,221110,South America,45-54,Basic,167.5,0.8
Show 944,Action,2003,7.4,136832,South America,65+,Standard,65,0.3
Show 945,Romance,2000,1.9,29142,North America,45-54,Standard,147.1,0.15
Show 946,Drama,2003,8.5,377333,Asia,18-24,Basic,123.4,0.59
Show 947,Drama,2017,7,898964,Australia,45-54,Basic,53.1,0.72
Show 948,Comedy,2004,7.3,939794,Australia,45-54,Basic,83.5,0.32
Show 949,Action,2018,4.3,993539,Africa,18-24,Premium,56.6,0.77
Show 950,Sci-Fi,2014,8.9,136436,Asia,35-44,Basic,74.3,0.96
Show 951,Sci-Fi,2007,7.5,848353,Australia,35-44,Standard,122.3,0.22
Show 952,Comedy,2019,2,286941,Africa,45-54,Premium,86.3,0.56
Show 953,Comedy,2016,4.7,242403,Africa,18-24,Standard,89.1,0.15
Show 954,Comedy,2000,9,561823,South America,35-44,Premium,110.9,0.29
Show 955,Romance,2011,1.4,313444,Europe,55-64,Premium,43.1,0.18
Show 956,Romance,2018,9.7,838608,South America,25-34,Standard,140.8,0.46
Show 957,Thriller,2014,7.1,21105,North America,25-34,Premium,90.3,0.84
Show 958,Thriller,2008,6.7,668299,Australia,65+,Standard,102.1,0.62
Show 959,Comedy,2006,3.4,608760,Africa,25-34,Basic,176.1,0.3
Show 960,Action,2001,3.2,702389,Europe,45-54,Premium,81.7,0.14
Show 961,Drama,2008,9.5,676223,Australia,25-34,Standard,127.2,0.6
Show 962,Romance,2009,3.7,83097,Africa,25-34,Premium,88.9,0.22
Show 963,Action,2001,8,266674,Africa,55-64,Standard,164.1,0.41
Show 964,Documentary,2018,4.5,146519,South America,35-44,Basic,157,0.56
Show 965,Romance,2010,2.3,625448,Europe,55-64,Basic,66.2,0.91
Show 966,Romance,2012,1.1,51940,Europe,45-54,Premium,133.8,0.17
Show 967,Thriller,2009,5.9,738307,Australia,25-34,Premium,39.8,0.7
Show 968,Drama,2013,9.8,90001,Africa,35-44,Standard,174.5,0.11
Show 969,Drama,2017,4.3,764112,Europe,65+,Standard,82.3,0.67
Show 970,Sci-Fi,2018,4.2,680002,Europe,65+,Premium,154.8,0.6
Show 971,Sci-Fi,2021,4.1,757158,Australia,25-34,Standard,77.8,0.83
Show 972,Sci-Fi,2008,5.7,756259,South America,25-34,Standard,124.9,0.58
Show 973,Sci-Fi,2006,5,203715,Asia,65+,Standard,177.5,0.42
Show 974,Documentary,2002,8.9,12928,North America,65+,Premium,161.5,0.32
Show 975,Documentary,2019,5.5,577290,Asia,45-54,Basic,54.1,0.18
Show 976,Romance,2005,5.6,351997,Europe,25-34,Basic,112.1,0.58
Show 977,Comedy,2020,2.2,643902,Africa,65+,Standard,82.3,0.9
Show 978,Thriller,2001,9.8,122517,North America,18-24,Premium,95.2,0.56
Show 979,Thriller,2005,3.2,161089,North America,65+,Standard,80.3,0.77
Show 980,Sci-Fi,2002,1.7,84064,Africa,35-44,Basic,80.4,0.37
Show 981,Romance,2015,7,911126,North America,35-44,Standard,111.4,0.5
Show 982,Action,2007,6.4,411529,Africa,18-24,Basic,58.8,0.39
Show 983,Comedy,2001,4.7,399775,North America,45-54,Premium,110.6,0.2
Show 984,Romance,2016,4.8,55893,Australia,25-34,Standard,71.8,0.48
Show 985,Comedy,2008,8.1,282311,Australia,25-34,Premium,73.3,0.79
Show 986,Comedy,2011,2.8,567886,Asia,65+,Standard,140.8,0.46
Show 987,Comedy,2002,8.4,143595,North America,35-44,Standard,34.4,0.69
Show 988,Romance,2010,6.8,841209,South America,45-54,Standard,87.1,0.78
Show 989,Sci-Fi,2000,4.8,426655,Africa,45-54,Standard,91.1,0.39
Show 990,Thriller,2022,5.1,383522,North America,45-54,Standard,102.8,0.82
Show 991,Thriller,2012,3.3,86060,Australia,65+,Premium,130.4,0.41
Show 992,Sci-Fi,2014,7.8,804717,Australia,25-34,Premium,85.5,0.33
Show 993,Comedy,2004,5.6,409189,Africa,45-54,Basic,62,0.3
Show 994,Action,2020,3.9,390114,South America,65+,Standard,162.7,0.28
Show 995,Drama,2016,6.4,551982,North America,65+,Basic,177.2,0.76
Show 996,Romance,2022,10,958278,North America,18-24,Premium,33,0.9
Show 997,Drama,2023,4.9,926806,South America,55-64,Basic,112,0.31
Show 998,Sci-Fi,2005,9.3,266401,South America,45-54,Premium,81.3,0.18
Show 999,Action,2020,4.1,776136,South America,55-64,Standard,71.5,0.38
Show 1000,Romance,2021,1.5,682751,Australia,25-34,Basic,80.4,0.69
Show 1001,Sci-Fi,2010,2.8,796043,Africa,65+,Basic,125.8,0.43
Show 1002,Comedy,2017,4.8,538660,South America,45-54,Basic,58.6,0.59
Show 1003,Thriller,2003,3,160384,Africa,35-44,Basic,166.9,0.77
Show 1004,Drama,2002,1,150152,Asia,25-34,Standard,99.9,0.47
Show 1005,Documentary,2012,9.2,872050,North America,18-24,Premium,78.8,1
Show 1006,Documentary,2022,8.6,642233,North America,18-24,Premium,144.8,0.37
Show 1007,Action,2008,7.7,899829,Europe,55-64,Standard,32.5,0.98
Show 1008,Comedy,2020,2.5,625501,Asia,65+,Premium,94.8,0.28
Show 1009,Drama,2005,2.1,25874,South America,55-64,Basic,83.3,0.2
Show 1010,Comedy,2011,1.6,460753,South America,35-44,Standard,80.7,0.78
Show 1011,Drama,2001,7.5,734274,Australia,35-44,Premium,80.6,0.73
Show 1012,Action,2002,9.4,399813,Asia,18-24,Standard,34.7,0.83
Show 1013,Action,2002,4.9,540888,South America,45-54,Standard,52.8,0.41
Show 1014,Documentary,2011,2.1,926251,Europe,18-24,Premium,51.3,0.94
Show 1015,Comedy,2014,5.6,870847,Africa,18-24,Premium,178.3,0.21
Show 1016,Romance,2008,4.1,777718,North America,35-44,Standard,33.3,0.13
Show 1017,Documentary,2022,4.4,476769,Asia,55-64,Standard,55.1,0.37
Show 1018,Comedy,2007,6.6,685175,North America,35-44,Premium,176.1,0.82
Show 1019,Documentary,2010,7.5,744860,Africa,65+,Standard,124.2,0.71
Show 1020,Romance,2015,2,623636,Asia,35-44,Premium,97.6,0.49
Show 1021,Thriller,2021,1.3,110736,Africa,35-44,Standard,41.8,0.33
Show 1022,Thriller,2003,9.9,816146,South America,18-24,Standard,130.4,0.15
Show 1023,Thriller,2000,3.1,417106,South America,45-54,Standard,50.7,0.4
Show 1024,Thriller,2023,1.5,984013,South America,18-24,Premium,130.7,0.51
Show 1025,Sci-Fi,2006,2.7,460040,Africa,25-34,Basic,176.9,0.72
Show 1026,Drama,2001,1.4,140797,Africa,35-44,Premium,109.8,0.68
Show 1027,Sci-Fi,2023,4.5,441421,Africa,35-44,Standard,62.1,0.95
Show 1028,Sci-Fi,2004,8.2,681044,North America,25-34,Basic,123.8,0.19
Show 1029,Sci-Fi,2006,4.1,490077,Africa,35-44,Basic,106.9,0.4
Show 1030,Thriller,2003,5,980415,South America,35-44,Standard,110,0.53
Show 1031,Romance,2004,7.1,640861,Europe,65+,Premium,101.7,0.7
Show 1032,Action,2023,5.6,280236,Africa,35-44,Basic,131.1,0.55
Show 1033,Action,2000,8.8,363062,Europe,25-34,Basic,115.8,0.92
Show 1034,Drama,2000,8.8,962274,South America,18-24,Premium,178,0.65
Show 1035,Thriller,2014,1.1,30457,Africa,35-44,Premium,153.9,0.14
Show 1036,Thriller,2019,8,863099,North America,45-54,Basic,69.7,0.2
Show 1037,Thriller,2018,5.1,357895,North America,25-34,Premium,138.9,0.78
Show 1038,Documentary,2009,9.9,67894,Europe,55-64,Basic,62.1,0.74
Show 1039,Comedy,2017,5.3,590593,Australia,65+,Standard,147.4,0.24
Show 1040,Documentary,2002,9.9,672972,North America,25-34,Premium,52.1,0.15
Show 1041,Comedy,2010,7.8,763201,North America,18-24,Basic,101,0.62
Show 1042,Thriller,2014,3.2,214699,North America,25-34,Premium,148.6,0.67
Show 1043,Thriller,2010,5.8,959593,South America,55-64,Premium,72,0.22
Show 1044,Documentary,2016,9.9,843569,North America,65+,Basic,155.6,0.53
Show 1045,Documentary,2016,8.7,5559,Asia,45-54,Standard,126.6,0.38
Show 1046,Comedy,2005,1.9,857681,Africa,55-64,Basic,89.6,0.94
Show 1047,Action,2004,7.4,42361,North America,25-34,Premium,93.5,0.3
Show 1048,Comedy,2007,4.1,872152,Australia,55-64,Basic,168.9,0.76
Show 1049,Documentary,2001,1.1,806693,Australia,25-34,Premium,62.7,0.57
Show 1050,Romance,2015,4.6,811804,North America,45-54,Basic,134,0.11
Show 1051,Documentary,2019,3.1,322499,North America,45-54,Standard,136.1,0.57
Show 1052,Romance,2023,8.4,758036,Asia,18-24,Standard,168.4,0.19
Show 1053,Drama,2011,4,365704,North America,45-54,Standard,137,0.69
Show 1054,Documentary,2005,8.4,718280,North America,35-44,Standard,117.7,0.61
Show 1055,Drama,2000,1,248950,Africa,55-64,Basic,165.4,0.11
Show 1056,Action,2003,3.8,430760,Australia,55-64,Standard,154.4,0.28
Show 1057,Comedy,2016,3.2,5037,Asia,25-34,Basic,137.5,0.8
Show 1058,Romance,2012,3.1,703392,Australia,45-54,Premium,34.9,0.35
Show 1059,Comedy,2017,1.6,476449,Asia,18-24,Premium,86,0.55
Show 1060,Drama,2004,2.7,308564,Australia,18-24,Premium,124.8,0.38
Show 1061,Romance,2023,6,512450,North America,18-24,Standard,108.3,0.93
Show 1062,Comedy,2023,3.6,626531,Australia,65+,Standard,77.9,0.58
Show 1063,Documentary,2002,4.8,658668,Australia,35-44,Standard,51.7,0.73
Show 1064,Thriller,2010,4.4,263430,Asia,45-54,Premium,112.9,0.18
Show 1065,Drama,2012,8.9,563888,Europe,18-24,Premium,72.9,0.14
Show 1066,Comedy,2003,9.1,708645,Asia,35-44,Premium,65,0.33
Show 1067,Drama,2013,5.4,722368,Asia,55-64,Premium,89.8,0.38
Show 1068,Sci-Fi,2021,4,880952,Asia,25-34,Basic,147.8,0.72
Show 1069,Drama,2010,2,796599,South America,45-54,Basic,103.2,0.61
Show 1070,Romance,2009,9.6,262351,South America,45-54,Standard,62.5,0.44
Show 1071,Sci-Fi,2018,1.5,529720,South America,65+,Standard,47.5,0.69
Show 1072,Romance,2017,3.7,790838,Asia,55-64,Premium,104.8,0.25
Show 1073,Thriller,2005,3.7,598975,Europe,45-54,Basic,149.2,0.16
Show 1074,Sci-Fi,2014,3.9,773576,Asia,65+,Basic,127.9,0.87
Show 1075,Documentary,2020,2.5,863379,North America,65+,Standard,64.8,0.61
Show 1076,Drama,2009,8,887756,Europe,65+,Basic,95.5,0.68
Show 1077,Comedy,2004,2.1,842335,South America,45-54,Standard,158.3,0.38
Show 1078,Action,2004,6.7,490375,Australia,45-54,Premium,56.6,0.43
Show 1079,Drama,2009,2.1,190221,Australia,45-54,Premium,109.8,0.17
Show 1080,Drama,2004,1.6,748000,Africa,35-44,Standard,83.4,0.87
Show 1081,Thriller,2002,9.2,192840,Europe,65+,Premium,48.6,0.63
Show 1082,Documentary,2022,2.7,458400,South America,35-44,Premium,37.5,0.18
Show 1083,Action,2005,8.4,857224,Europe,25-34,Basic,113.4,0.82
Show 1084,Sci-Fi,2003,5.9,300583,Europe,45-54,Basic,33.1,0.5
Show 1085,Sci-Fi,2017,1.7,169329,Australia,55-64,Basic,45.5,0.79
Show 1086,Sci-Fi,2008,9.6,180746,Asia,18-24,Basic,82.1,0.11
Show 1087,Romance,2016,3.2,318392,North America,25-34,Basic,36.5,0.13
Show 1088,Romance,2012,8.7,481818,Africa,18-24,Standard,90.1,0.25
Show 1089,Comedy,2014,2.5,705731,South America,18-24,Standard,49.6,0.29
Show 1090,Action,2019,8.7,758642,Europe,45-54,Basic,82.5,0.79
Show 1091,Sci-Fi,2016,1.1,466212,Africa,55-64,Premium,148.7,0.74
Show 1092,Romance,2012,5.6,697657,Europe,18-24,Premium,124,0.65
Show 1093,Comedy,2015,7.9,976777,Australia,65+,Standard,96.8,0.9
Show 1094,Documentary,2021,9.4,459472,North America,18-24,Standard,43.8,0.32
Show 1095,Comedy,2003,9.2,564031,Australia,25-34,Standard,122.9,0.91
Show 1096,Romance,2004,8.4,204824,Africa,55-64,Premium,54.6,0.92
Show 1097,Thriller,2004,9,609091,South America,55-64,Standard,41.5,0.49
Show 1098,Thriller,2008,2.8,866549,Europe,18-24,Premium,129.6,0.18
Show 1099,Sci-Fi,2016,3.6,206123,North America,55-64,Standard,166.8,0.75
Show 1100,Thriller,2012,3.6,27076,Australia,25-34,Premium,99.1,0.4
Show 1101,Sci-Fi,2001,4.4,246424,Africa,25-34,Standard,36.1,0.82
Show 1102,Sci-Fi,2012,4.5,211384,Australia,25-34,Standard,162,0.25
Show 1103,Romance,2021,5.9,255699,Europe,65+,Premium,40,0.59
Show 1104,Thriller,2020,2.4,878915,Europe,45-54,Standard,160.1,0.56
Show 1105,Sci-Fi,2022,7.2,663323,South America,18-24,Basic,88.8,0.19
Show 1106,Action,2018,2.5,386361,North America,55-64,Premium,84.8,0.43
Show 1107,Documentary,2002,3.8,994826,Asia,25-34,Standard,111.4,0.18
Show 1108,Comedy,2009,5.5,149938,Australia,18-24,Premium,173.6,0.52
Show 1109,Comedy,2001,8.2,895936,Europe,18-24,Standard,164.8,0.86
Show 1110,Romance,2012,7.7,168377,Africa,45-54,Basic,100.5,0.34
Show 1111,Thriller,2018,6.8,984907,Australia,65+,Standard,134.4,0.79
Show 1112,Thriller,2016,2.4,218968,South America,55-64,Standard,117.1,0.27
Show 1113,Sci-Fi,2020,5.9,897081,South America,65+,Basic,134,0.71
Show 1114,Drama,2013,1.8,393388,Europe,55-64,Premium,154.4,0.92
Show 1115,Sci-Fi,2011,4.4,299957,Europe,25-34,Standard,35.2,0.39
Show 1116,Documentary,2020,4.7,858161,Europe,25-34,Standard,78.9,0.91
